,Kod TERC,Kod TERC (GUS),Kod TERC-woj (GUS),Województwo,Kod TERC-pow (GUS),Powiat,Kod TERC-gmi,Kod TERC-gmi-rodz,Gmina,Kod TERC-gmi (GUS),Kod TERC-gmi-rodz (GUS),Gmina (GUS),Kod SIMC,Kod SIMC podstawowa,Rodzaj miejscowości,Miejscowość,Kod SIMC (GUS),Kod SIMC podstawowa (GUS),Rodzaj miejscowości (GUS),Miejscowość (GUS),Kod ULIC (GUS),Ulica (cecha),Ulica (nazwa),Numeracja nieparzysta (od),Numeracja nieparzysta (do),Numeracja parzysta (od),Numeracja parzysta (do),Kod pocztowy (PNA)
262683,607052,607052,6,LUBELSKIE,7,kraśnicki,5,2,Kraśnik,5,2,Kraśnik,383969,383969,1,Spławy Pierwsze,383969,383969,1,Spławy Pierwsze,16990.0,ul.,Poleśna,1,-1,2,-1,23-200
145121,2214011,2214011,22,POMORSKIE,14,tczewski,1,1,Tczew,1,1,Tczew,934903,934903,96,Tczew,934903,934903,96,Tczew,6189.0,ul.,gen. Grota-Roweckiego,1,-1,2,-1,83-110
220441,2462011,2462011,24,ŚLĄSKIE,62,Bytom,1,1,Bytom,1,1,Bytom,938670,938670,96,Bytom,938670,938670,96,Bytom,15347.0,ul.,Jerzego Ossolińskiego,1,-1,2,-1,41-936
303979,3017052,3017052,30,WIELKOPOLSKIE,17,ostrowski,5,2,Przygodzice,5,2,Przygodzice,207356,207356,4,Trzcieliny,207356,207356,4,Trzcieliny,,,,1,-1,2,-1,63-421
75471,1412151,1412151,14,MAZOWIECKIE,12,miński,15,1,Sulejówek,15,1,Sulejówek,921668,921668,96,Sulejówek,921668,921668,96,Sulejówek,26081.0,ul.,Zielona,1,-1,2,-1,05-071
240640,2410062,2410062,24,ŚLĄSKIE,10,pszczyński,6,2,Suszec,6,2,Suszec,222025,222025,1,Kryry,222025,222025,1,Kryry,19339.0,ul.,Rzepakowa,1,-1,2,-1,43-265
353184,1807085,1807085,18,PODKARPACKIE,7,krośnieński,8,5,Rymanów,8,5,Rymanów,358760,358760,1,Bzianka,358760,358760,1,Bzianka,,,,1,-1,2,-1,38-483
138800,2211062,2211062,22,POMORSKIE,11,pucki,6,2,Krokowa,6,2,Krokowa,165379,165379,1,Wierzchucino,165379,165379,1,Wierzchucino,656.0,ul.,Bałtycka,1,-1,2,-1,84-113
227476,2404102,2404102,24,ŚLĄSKIE,4,częstochowski,10,2,Mstów,10,2,Mstów,138661,138661,1,Srocko,138661,138661,1,Srocko,19986.0,ul.,Skałkowa,1,-1,2,-1,42-244
28221,1202042,1202042,12,MAŁOPOLSKIE,2,brzeski,4,2,Dębno,4,2,Dębno,818924,818924,1,Doły,818924,818924,1,Doły,,,,1,-1,2,-1,32-854
